pattern_time,entry_time,exit_time,entry_price,exit_price,stop,target,risk,pnl,return_pct,r_multiple,outcome
2010-01-05 08:00:00,2010-01-05 12:00:00,2010-01-06 00:00:00,1122.01615,1129.0322999999999,1115.0,1129.0322999999999,7.016149999999925,7.016149999999925,0.006253163111778672,1.0,target
2010-01-11 08:00:00,2010-01-11 12:00:00,2010-01-12 00:00:00,1153.8744708251952,1143.0,1143.0,1164.7489416503904,10.874470825195203,-10.874470825195203,-0.009424310096243232,-1.0,stop
2010-01-12 08:00:00,2010-01-12 12:00:00,2010-01-13 04:00:00,1143.261951171875,1127.199951171875,1127.199951171875,1159.3239511718748,16.061999999999898,-16.061999999999898,-0.014049273645060877,-1.0,stop
2010-01-14 08:00:00,2010-01-14 12:00:00,2010-01-15 00:00:00,1140.5447543945313,1132.800048828125,1132.800048828125,1148.2894599609376,7.74470556640631,-7.74470556640631,-0.006790356570021365,-1.0,stop
2010-01-22 08:00:00,2010-01-22 12:00:00,2010-01-26 00:00:00,1089.7505732910156,1096.5011465820312,1083.0,1096.5011465820312,6.750573291015598,6.750573291015598,0.0061946040281759705,1.0,target
2010-02-01 08:00:00,2010-02-01 12:00:00,2010-02-02 00:00:00,1094.749298828125,1112.6985488281248,1076.800048828125,1112.6985488281248,17.949249999999893,17.949249999999893,0.016395762956152315,1.0,target
2010-02-05 08:00:00,2010-02-05 12:00:00,2010-02-09 00:00:00,1059.415310961914,1073.630670751953,1045.199951171875,1073.630670751953,14.215359790038974,14.215359790038974,0.013418118128887432,1.0,target
2010-02-22 08:00:00,2010-02-22 12:00:00,2010-02-23 08:00:00,1119.4725732910156,1110.0,1110.0,1128.9451465820312,9.472573291015578,-9.472573291015578,-0.008461639451485793,-1.0,stop
2010-03-04 08:00:00,2010-03-04 12:00:00,2010-03-08 00:00:00,1134.6548697998046,1128.5999755859375,1128.5999755859375,1140.7097640136717,6.054894213867101,-6.054894213867101,-0.00533633122725275,-1.0,stop
2010-03-12 08:00:00,2010-03-12 12:00:00,2010-03-16 00:00:00,1109.2695244140625,1118.6390244140625,1099.9000244140625,1118.6390244140625,9.369500000000016,9.369500000000016,0.008446549547955142,1.0,target
2010-03-17 08:00:00,2010-03-17 12:00:00,2010-03-19 00:00:00,1125.8376742797852,1118.0,1118.0,1133.6753485595705,7.837674279785233,-7.837674279785233,-0.006961637950869878,-1.0,stop
2010-03-24 08:00:00,2010-03-24 12:00:00,2010-03-26 00:00:00,1089.6413946533203,1093.7827893066406,1085.5,1093.7827893066406,4.141394653320276,4.141394653320276,0.0038006950485190588,1.0,target
2010-03-31 08:00:00,2010-03-31 12:00:00,2010-04-01 00:00:00,1112.278819946289,1122.5576398925782,1102.0,1122.5576398925782,10.278819946289104,10.278819946289104,0.00924122599654056,1.0,target
2010-04-05 08:00:00,2010-04-05 12:00:00,2010-04-06 12:00:00,1128.075379309082,1136.2507342041017,1119.9000244140625,1136.2507342041017,8.175354895019609,8.175354895019609,0.007247170752035036,1.0,target
2010-04-12 08:00:00,2010-04-12 12:00:00,2010-04-13 00:00:00,1162.3097486572265,1154.5999755859375,1154.5999755859375,1170.0195217285154,7.709773071288964,-7.709773071288964,-0.006633148418651552,-1.0,stop
2010-04-16 08:00:00,2010-04-16 12:00:00,2010-04-19 04:00:00,1146.8872108154296,1130.4000244140625,1130.4000244140625,1163.3743972167968,16.487186401367126,-16.487186401367126,-0.014375595303434276,-1.0,stop
2010-04-20 08:00:00,2010-04-20 12:00:00,2010-04-21 00:00:00,1141.6703082519532,1147.3406165039064,1136.0,1147.3406165039064,5.670308251953202,5.670308251953202,0.004966677517115416,1.0,target
2010-04-27 08:00:00,2010-04-27 12:00:00,2010-04-30 00:00:00,1161.7251510864257,1174.850326586914,1148.5999755859375,1174.850326586914,13.12517550048824,13.12517550048824,0.011298004083163558,1.0,target
2010-05-03 08:00:00,2010-05-03 12:00:00,2010-05-04 00:00:00,1182.9538817626953,1177.300048828125,1177.300048828125,1188.6077146972657,5.653832934570346,-5.653832934570346,-0.004779419571408553,-1.0,stop
2010-05-25 08:00:00,2010-05-25 12:00:00,2010-05-26 00:00:00,1197.9676287231446,1200.3352818603516,1195.5999755859375,1200.3352818603516,2.3676531372070713,2.3676531372070713,0.0019763915822421994,1.0,target
