Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,5.934967621143992,5.963803291320801,5.884505079799994,5.963803291320801,237536000,0.0,0.0
2020-01-03 00:00:00-05:00,5.844236288085013,5.912100204817676,5.819377681002153,5.868349075317383,205384000,0.0,0.0
2020-01-06 00:00:00-05:00,5.775128136185318,5.898177473983396,5.749026818972195,5.8929572105407715,262636000,0.0,0.0
2020-01-07 00:00:00-05:00,5.9212948654387905,6.010039801296708,5.876301039294927,5.964300155639648,314856000,0.0,0.0
2020-01-08 00:00:00-05:00,5.96007489141587,6.0167524399804355,5.920052874364095,5.975487232208252,277108000,0.0,0.0
2020-01-09 00:00:00-05:00,6.061746936440658,6.11345267607093,5.987420054256741,6.041114330291748,255112000,0.0,0.0
2020-01-10 00:00:00-05:00,6.148254795938454,6.1785821115195265,6.059261385717087,6.07343053817749,316296000,0.0,0.0
2020-01-13 00:00:00-05:00,6.156456910250187,6.288952489506994,6.133835297475145,6.263845443725586,319840000,0.0,0.0
2020-01-14 00:00:00-05:00,6.221088751738677,6.246444720752033,6.133835447619546,6.147010803222656,359088000,0.0,0.0
2020-01-15 00:00:00-05:00,6.1596876252794495,6.1820603134908225,6.0786488611606115,6.104501724243164,263104000,0.0,0.0
2020-01-16 00:00:00-05:00,6.157948519655376,6.193993464647111,6.134581559774977,6.188027381896973,284192000,0.0,0.0
2020-01-17 00:00:00-05:00,6.207168756490065,6.214626478954624,6.149248487016599,6.196728229522705,253792000,0.0,0.0
2020-01-21 00:00:00-05:00,6.160185612581765,6.196976374999237,6.129360932560053,6.163417339324951,217916000,0.0,0.0
2020-01-22 00:00:00-05:00,6.208659581685237,6.303867502720389,6.189767066563044,6.217360019683838,239240000,0.0,0.0
2020-01-23 00:00:00-05:00,6.257382051881622,6.294172337265106,6.168637116635187,6.285720348358154,244516000,0.0,0.0
2020-01-24 00:00:00-05:00,6.40106482430508,6.450782022304533,6.172366566956607,6.226558208465576,373512000,0.0,0.0
2020-01-27 00:00:00-05:00,5.922289664238681,6.021972504994483,5.772890101483585,5.971012592315674,470536000,0.0,0.0
2020-01-28 00:00:00-05:00,6.036886854345319,6.19647847807783,5.98368948838839,6.164162635803223,310976000,0.0,0.0
2020-01-29 00:00:00-05:00,6.149745001380459,6.185789943729785,6.0639828644708,6.103756904602051,258848000,0.0,0.0
2020-01-30 00:00:00-05:00,6.0060631260830695,6.123892669348195,5.951126138120667,6.110468864440918,290504000,0.0,0.0
2020-01-31 00:00:00-05:00,6.064729509694369,6.076661675944388,5.835534340017212,5.877296447753906,370420000,0.0,0.0
2020-02-03 00:00:00-05:00,5.859149875876774,5.993634486380616,5.8529353441116,5.974245071411133,255564000,0.0,0.0
2020-02-04 00:00:00-05:00,6.115937429917117,6.162422897112003,6.065971787601257,6.14328145980835,271544000,0.0,0.0
2020-02-05 00:00:00-05:00,6.26409483893888,6.274286917530958,6.150242834852348,6.233519077301025,208220000,0.0,0.0
2020-02-06 00:00:00-05:00,6.267822801669854,6.3202738761901855,6.186784032913833,6.3202738761901855,218284000,0.0,0.0
2020-02-07 00:00:00-05:00,6.2802531394695045,6.302377384992771,6.228795848351484,6.254151821136475,189752000,0.0,0.0
2020-02-10 00:00:00-05:00,6.276773339325847,6.537787486553337,6.271801523877715,6.537042140960693,529608000,0.0,0.0
2020-02-11 00:00:00-05:00,6.645174095338608,6.773941033991019,6.583276295760601,6.659343242645264,638556000,0.0,0.0
2020-02-12 00:00:00-05:00,6.712045068202593,6.781400607181102,6.673265764706395,6.774937152862549,374644000,0.0,0.0
2020-02-13 00:00:00-05:00,6.717016762163457,6.798303991866709,6.689672254333135,6.7311859130859375,528016000,0.0,0.0
2020-02-14 00:00:00-05:00,7.140853762856807,7.332512804476498,7.109532184607518,7.2037458419799805,1041924000,0.0,0.0
2020-02-18 00:00:00-05:00,7.10058231335741,7.390681460600546,7.081192901778724,7.372285842895508,620164000,0.0,0.0
2020-02-19 00:00:00-05:00,7.494591162549413,7.8406216221615965,7.494591162549413,7.822971820831299,694332000,0.0,0.0
2020-02-20 00:00:00-05:00,7.774992573323117,7.86324012797085,7.3668159843508585,7.673818588256836,810052000,0.0,0.0
2020-02-21 00:00:00-05:00,7.561709436571416,7.586816487039171,7.225373675917475,7.310141086578369,768180000,0.0,0.0
2020-02-24 00:00:00-05:00,6.716518843394687,7.006866456625877,6.662078754814775,6.793331623077393,856916000,0.0,0.0
2020-02-25 00:00:00-05:00,6.868405127821072,6.930302945472241,6.412500210276758,6.514171600341797,1055496000,0.0,0.0
2020-02-26 00:00:00-05:00,6.5144194445871815,6.847274989769168,6.512928279510308,6.653378486633301,747732000,0.0,0.0
2020-02-27 00:00:00-05:00,6.340222462355224,6.6411905100878075,6.190733538467209,6.283013820648193,906416000,0.004,0.0
2020-02-28 00:00:00-05:00,6.030797544626237,6.77699866718428,6.014132526651322,6.717551231384277,1133252000,0.0,0.0
2020-03-02 00:00:00-05:00,6.887437432968634,6.90460012185315,6.491950746144979,6.875746726989746,890744000,0.0,0.0
2020-03-03 00:00:00-05:00,6.931462850373076,6.991158887369875,6.528265410526086,6.61358118057251,652792000,0.0,0.0
2020-03-04 00:00:00-05:00,6.720786112979837,7.086175961601068,6.646165702503717,7.076724052429199,597408000,0.0,0.0
2020-03-05 00:00:00-05:00,6.877488416985179,7.044140056322009,6.7531215361195445,6.797645092010498,540328000,0.0,0.0
2020-03-06 00:00:00-05:00,6.618306817272901,6.675764530909443,6.417329829721976,6.617311954498291,515412000,0.0,0.0
2020-03-09 00:00:00-04:00,5.967121698181325,6.452152626694076,5.924339753977124,6.104920387268066,614160000,0.0,0.0
2020-03-10 00:00:00-04:00,6.3810155877339705,6.493940830230713,6.118601874560568,6.493940830230713,580648000,0.0,0.0
2020-03-11 00:00:00-04:00,6.354152046429975,6.3825077726804995,6.033534363514282,6.130540370941162,499964000,0.0,0.0
2020-03-12 00:00:00-04:00,5.607951271671891,5.873101457756061,5.36767455663343,5.380360126495361,816540000,0.0,0.0
2020-03-13 00:00:00-04:00,5.733312981335359,5.9949809083831616,5.462442216383406,5.990503787994385,634836000,0.0,0.0
2020-03-16 00:00:00-04:00,5.283352557854332,5.623869353339023,4.825433894923929,4.885129928588867,726972000,0.0,0.0
2020-03-17 00:00:00-04:00,4.99730987245585,5.493533932299811,4.750814909910553,5.404238224029541,833632000,0.0,0.0
2020-03-18 00:00:00-04:00,4.977160620667727,5.221914357468856,4.4941199907428855,5.044816017150879,874268000,0.0,0.0
2020-03-19 00:00:00-04:00,5.023425510217554,5.39080547512759,4.810261119944137,5.297281742095947,765512000,0.0,0.0
2020-03-20 00:00:00-04:00,5.447268167132194,5.728834719934263,5.102274726874198,5.117696285247803,804636000,0.0,0.0
2020-03-23 00:00:00-04:00,5.116700479033214,5.384587051709071,4.937860991668966,5.290316581726074,643876000,0.0,0.0
2020-03-24 00:00:00-04:00,5.6960011208035635,6.284505282723199,5.672371592229035,6.197945594787598,1101644000,0.0,0.0
2020-03-25 00:00:00-04:00,6.312862293100567,6.512346769675058,6.060646288704762,6.109398365020752,793432000,0.0,0.0
2020-03-26 00:00:00-04:00,6.316343948572078,6.52229572585307,6.218343085472186,6.398426532745361,696108000,0.0,0.0
2020-03-27 00:00:00-04:00,6.2183432436518,6.544681965395406,6.18551039891607,6.286247730255127,638828000,0.0,0.0
2020-03-30 00:00:00-04:00,6.351662995644652,6.615321034614254,6.307637123468622,6.6061177253723145,602252000,0.0,0.0
2020-03-31 00:00:00-04:00,6.646164892139033,6.850126943033816,6.411111600364291,6.556621074676514,949960000,0.0,0.0
2020-04-01 00:00:00-04:00,6.358877795314713,6.505133062019152,6.001447365136863,6.045970439910889,656912000,0.0,0.0
2020-04-02 00:00:00-04:00,6.075072846746822,6.36758387464943,6.027067511719613,6.354401111602783,675764000,0.0,0.0
2020-04-03 00:00:00-04:00,6.316842172617156,6.358380662536107,5.929563928559885,6.066864967346191,663212000,0.0,0.0
2020-04-06 00:00:00-04:00,6.348679878999139,6.712826240772359,6.291222162421738,6.676013469696045,727884000,0.0,0.0
2020-04-07 00:00:00-04:00,6.897386723143072,6.921016732850142,6.3999192267850225,6.442950248718262,784520000,0.0,0.0
2020-04-08 00:00:00-04:00,6.551894702646605,6.664819927163349,6.482000494418423,6.639946460723877,542444000,0.0,0.0
2020-04-09 00:00:00-04:00,6.76555762990454,6.7884408976976,6.477523735926655,6.5404534339904785,525564000,0.0,0.0
2020-04-13 00:00:00-04:00,6.480757551993029,6.720785644616619,6.392457189784047,6.712080001831055,398408000,0.0,0.0
2020-04-14 00:00:00-04:00,6.8401764880173905,7.096869554110775,6.812567033193348,7.062793254852295,530948000,0.0,0.0
2020-04-15 00:00:00-04:00,6.894899655370678,7.068267211312,6.849630308417041,6.985438823699951,366148000,0.0,0.0
2020-04-16 00:00:00-04:00,7.140646745154944,7.437137160178758,7.127463984966919,7.33018159866333,745620000,0.0,0.0
2020-04-17 00:00:00-04:00,7.41226464837836,7.433655858312724,7.137165405215727,7.270984172821045,539120000,0.0,0.0
2020-04-20 00:00:00-04:00,7.144626875048733,7.3003340312313565,7.095626211966253,7.1399006843566895,449388000,0.0,0.0
2020-04-21 00:00:00-04:00,7.022001664063456,7.083189755050889,6.643926307064967,6.703622341156006,735160000,0.0,0.0
2020-04-22 00:00:00-04:00,6.89564456745756,7.16029750557425,6.850126632313321,7.1175150871276855,483356000,0.0,0.0
2020-04-23 00:00:00-04:00,7.159551578055297,7.291380147551621,7.039164167732887,7.064286231994629,424160000,0.0,0.0
2020-04-24 00:00:00-04:00,7.054089846138695,7.2050708569107,6.979469430727479,7.203081130981445,352328000,0.0,0.0
2020-04-27 00:00:00-04:00,7.337396152234377,7.54906850647414,7.312771282405198,7.389381408691406,479388000,0.0,0.0
2020-04-28 00:00:00-04:00,7.53663153895252,7.566479794148547,7.241633616006236,7.247105598449707,442904000,0.0,0.0
2020-04-29 00:00:00-04:00,7.381670852745031,7.476438532098062,7.306553255548668,7.423707008361816,379160000,0.0,0.0
2020-04-30 00:00:00-04:00,7.3697314829466665,7.423706940505074,7.2560604626028455,7.269989490509033,375916000,0.0,0.0
2020-05-01 00:00:00-04:00,7.072743452911202,7.1859172806554765,6.985437955761158,7.033692359924316,342096000,0.0,0.0
2020-05-04 00:00:00-04:00,6.98643138554648,7.259043663673249,6.98643138554648,7.245363235473633,317556000,0.0,0.0
2020-05-05 00:00:00-04:00,7.349336431311147,7.468728519073253,7.245365430153509,7.306305408477783,368896000,0.0,0.0
2020-05-06 00:00:00-04:00,7.38565081334239,7.511758806368057,7.3478431802598525,7.407041549682617,323464000,0.0,0.0
2020-05-07 00:00:00-04:00,7.546084248410527,7.646323918023772,7.4948452521720315,7.583145618438721,373732000,0.0,0.0
2020-05-08 00:00:00-04:00,7.654781042582035,7.779147917276859,7.620953332367935,7.772929668426514,339216000,0.0,0.0
2020-05-11 00:00:00-04:00,7.767953212795398,8.071408625567924,7.739348894683899,8.024646759033203,469060000,0.0,0.0
2020-05-12 00:00:00-04:00,8.082353219891191,8.131104815572956,7.753278525773543,7.762979030609131,493060000,0.0,0.0
2020-05-13 00:00:00-04:00,7.877395816576789,8.037580085660547,7.55628053841165,7.7405924797058105,625852000,0.0,0.0
2020-05-14 00:00:00-04:00,7.802031949002812,7.995298185675127,7.648563075746474,7.989826202392578,602312000,0.0,0.0
2020-05-15 00:00:00-04:00,7.8497872616478075,8.457443446163204,7.834117106027025,8.44774341583252,987660000,0.0,0.0
2020-05-18 00:00:00-04:00,8.716126976105572,8.871336954115424,8.636532261563676,8.705928802490234,774460000,0.0,0.0
2020-05-19 00:00:00-04:00,8.745728485196754,9.041472752146639,8.718367616889669,8.76090145111084,717320000,0.0,0.0
2020-05-20 00:00:00-04:00,8.945460766522393,8.997197432107013,8.843728564013752,8.924567222595215,587536000,0.0,0.0
2020-05-21 00:00:00-04:00,9.005655143771433,9.006649532311567,8.693245401400757,8.730804443359375,761068000,0.0,0.0
2020-05-22 00:00:00-04:00,8.780547685374982,9.046942204307483,8.669115477795355,8.98052978515625,1038764000,0.0,0.0
2020-05-26 00:00:00-04:00,9.11037208467669,9.135246032523414,8.628077479731227,8.673595428466797,770780000,0.0,0.0
2020-05-27 00:00:00-04:00,8.581311407410789,8.589021710730815,7.9562435883697225,8.482067108154297,1175892000,0.0,0.0
2020-05-28 00:00:00-04:00,8.369641310493597,8.71612780265419,8.336808463910437,8.444013595581055,734896000,0.0,0.0
2020-05-29 00:00:00-04:00,8.511170268712194,8.830544471740723,8.442022323211523,8.830544471740723,745256000,0.0,0.0
2020-06-01 00:00:00-04:00,8.788509941773912,8.795971650904905,8.645487840751274,8.761646270751953,389876000,0.0,0.0
2020-06-02 00:00:00-04:00,8.751696604772091,8.792488351879058,8.614146503329726,8.780549049377441,391320000,0.0,0.0
2020-06-03 00:00:00-04:00,8.777562925778758,8.821339725699485,8.655931605904515,8.725079536437988,365440000,0.0,0.0
2020-06-04 00:00:00-04:00,8.687752876236223,8.902010324242097,8.63748582686999,8.726076126098633,424280000,0.004,0.0
2020-06-05 00:00:00-04:00,8.753948023245258,8.955513667793715,8.667846716392749,8.87886905670166,481748000,0.0,0.0
2020-06-08 00:00:00-04:00,8.836315791447598,8.84875796278578,8.645699106542606,8.764399528503418,387736000,0.0,0.0
2020-06-09 00:00:00-04:00,8.759424561032304,9.067745950107147,8.710899416736416,9.004289627075195,468488000,0.0,0.0
2020-06-10 00:00:00-04:00,9.125479807507725,9.456197516348666,9.111294759405718,9.323561668395996,632180000,0.0,0.0
2020-06-11 00:00:00-04:00,9.10780969358321,9.218546652685198,8.745488699129474,8.755691528320312,583652000,0.0,0.0
2020-06-12 00:00:00-04:00,9.120249640232714,9.144885268344536,8.663116916824086,8.89130973815918,570908000,0.0,0.0
2020-06-15 00:00:00-04:00,8.774605049032699,9.139912513683827,8.703433946550925,9.131451606750488,400004000,0.0,0.0
2020-06-16 00:00:00-04:00,9.182463952946726,9.224021398349738,8.797994456053088,9.026684761047363,535716000,0.0,0.0
2020-06-17 00:00:00-04:00,9.071724989420082,9.256120093438188,9.028424681181738,9.193410873413086,408304000,0.0,0.0
2020-06-18 00:00:00-04:00,9.184453472998934,9.239697586467326,9.072472033633701,9.175495147705078,254408000,0.0,0.0
2020-06-19 00:00:00-04:00,9.19988122589456,9.401446849001816,9.184701341752877,9.218544006347656,524160000,0.0,0.0
2020-06-22 00:00:00-04:00,9.257114800255561,9.487298239825513,9.23048759142056,9.482818603515625,398468000,0.0,0.0
2020-06-23 00:00:00-04:00,9.506959593896607,9.598037964663789,9.364121900954425,9.406425476074219,375108000,0.0,0.0
2020-06-24 00:00:00-04:00,9.432553235534522,9.512433926958058,9.10233306985164,9.192914009094238,449372000,0.0,0.0
2020-06-25 00:00:00-04:00,9.312612597311404,9.461174465881994,9.139912510248717,9.446243286132812,376072000,0.0,0.0
2020-06-26 00:00:00-04:00,9.456195773769487,9.456195773769487,9.082924887962797,9.112786293029785,592084000,0.0,0.0
2020-06-29 00:00:00-04:00,9.12746835403248,9.162058106058364,8.858961583091999,9.157578468322754,342248000,0.0,0.0
